emotion,utterance
anger,she got a job and a new car then suddenly I became unimportant. She would stay out until 3am with her new friend from work
anger,I just found out my husband is cheating on me. I am so disgusted not sure what to do next.
anger,So I came home to my dog chewing up my new furniture set that cost me a fortune! I could feel my blood boiling.
anger,Once I was waiting for a friend for an hour to go to dinner and she wouldn't answer her phone!
anger,"The other morning at 4 am I was woken by my neighbor's smoke alarm going off. At first I didn't know what was going on, then I realized and didn't appreciate it!"
anger,i really hate seeing people throw trash on the street like if it was a natural thing to do
anger,it makes me really angry when the neighboors door poops on my yard and she does not pick it up
anger,"My neighbor's dogs started barking early this morning. They woke me up, which I'm not happy about."
anger,"I got really mad at my dog the other day. There's a rabbit living under my shed, and when he saw it eating our grass, he chased it out of our yard."
anger,A now ex-friend of mine revealed a very private secret I told her in confidence not only to our mutual friends but the entire internet! I couldn't believe she did that to me.
anger,I let my dad borrow my car and he got in an accident. It made my insurance rate increase.
anger,"While my car was parked outside my house, someone put a huge dent in it during the night. No insurance card, no nothing, just drove off."
anger,"My older sister stole my younger brother's iPod touch to pawn. I was so furious, especially because he's the sweetest most innocent kid."
anger,One time they put cheese in my hamburger when I told them not to!
anger,"I woke up this morning, and my mailbox had been smashed in. I think the neighborhood teens had smashed it with a bat."
anger,"I feel very upset about the treatment that some people can have with their pets, this is not good,"
anger,My dog keeps going into my garbage and throwing the contents onto the floor. I don't know how to get him to stop and it's frustrating as all heck.
anger,My coworker forgot to turn in the paperwork to switch our on call weeks. He ended up costing me $250! I'm so mad!!!
anger,I get so mad when the local kids throw eggs at the front doors of houses in my neighborhood. It is so infuriating!
anger,My old roommate didn't clean out his room or the kitchen when he left. The university charged me and the other roommates 100$
anger,"Last week, someone during the night drove off the road and destroyed a large section of my fence. It is going to be expensive to have it replaced."
anger,Someone hit my car at Walmart and drove off! I'm so annoyed they didn't have the decency to leave a note or something.
anger,I get really upset when ever someone cuts me of in traffic. I just dont see why people think it's ok to do that.
anger,I was so pissed off when i found out that my girlfriend kissed my best friend
anger,When planning my wedding the caterer we were trying to hire was completely ignoring my wife every time she tried to talk to her.
anger,"i hate when my sister snores at night she never lets me sleep, but i know it is not her fault i just get really angry"
anger,"My boyfriend kept claiming he wasn't drinking, but I found out he was lying about it. I found a bunch of empty liquor bottles in his room."
anger,"Someone ran into my car while I was grocery shopping. I came out to a huge dent in my car, I was so mad."
anger,"i hate getting last, i have always loved winning and there is nothing that makes me more angry than losing in something"
anger,"My doctor didn't see in my prescription right!!! I needed my medicine a week ago, but they kept messing it up.  I was so angry. i couldn't see stragiht."
anger,I dropped my dang coffee on the group and not only that but it splashed me as well.
anger,"After being married to my first wife for 8 years, I found out she was having an affair behind my back. It was not a very good time for me."
anger,They arrested 9 people at a nearby farm for animal cruelty and they are already out on bond!
anger,my little brother dumped a glass of water on me while i was sleeping just because we are in a prank war
anger,I came home yesterday and my dog had pooped all over the floor. He hasnt done that in ages.
anger,"We're working on building a house, and keep running into delays.  The guy at the city is completely unhelpful!"
anger,My family cannot agree on what to eat for dinner and its making me so mad!
anger,i hate when i see people homeless in the street i dont know if i should get mad or sad
anger,Found out my wife was dating someone else a year before we got married while we were dating. It's not a good day today.
anger,I felt really mad about a tech problem today. I can't figure out how to download a game to a certain drive.
anger,I drove 4 hours to hang out with my family on a trip and we spent a total of about 2 hours together over 2 days. I wish I had just stayed home.
anger,"One of my coworkers took credit for a job I had done last month. They told our boss it was their idea, when they didn't even work on the project."
anger,"I was trying to plan my wedding by getting a caterer, and they kept blowing us off over and over again."
anger,My upstairs neighbor gets up at 3am for work. Instead of preparing the night before she does everything in the am. I am so tired of being woken up!
anger,I found out someone stole my identity. They completely cleared out my bank account and maxed out my credit cards. I am so mad.
anger,"I am staying in hotel, and new neighbors just moved in, from what it sounds like already, I'm not having a good night's sleep today."
anger,My roommate ate my lunch that I left in the fridge! I cannot stand that!
anger,"I was walking my dogs and a guy had his dog off leash, and it ran up and freaked out both of mine."
anger,"My older sister stole money from me. I knew it was her, but had no proof and my parents did nothing about it."
anger,was travelling 14 hours internationally. First flight got delayed and the airline would not apologize and provide altenative
anger,I can't believe my son took my car without asking me! I missed an important job interview because I couldn't drive!
anger,I am so upset! My phone was on top of my car and it fell off and shattered.
anger,"I took my car to my mechanic, who I thought I could trust. He quoted me $1000 in parts and labor. I took it to another mechanic and he fixed it on the spot for $100."
anger,My girlfriend and I have been working hard on potty training the dog.  She has been doing great but last night she pooped in the house.
anger,I'm so angry at my self. I was in my performance review today and I passed wind in front of my boss. OMG
anger,My coworker got the promotion that I was trying for. I feel like I deserved it more.
anger,Someone was speeding on the road and I got into an accident with them. My car was totalled because of their carelessness.
anger,My neighbors are still doing fireworks every night at midnight. I have dogs that are scared of the noise and won't sleep.
anger,"My electricity is out again! I pay a lot for the service, and i can never count on it. It goes out when the wind blows!"
anger,My dog chewed up one of my flip flops the other day. Now I have to throw them out.
anger,It seems like no one lately can drive right. They're always speeding or cutting you off. Also no blinker use.
anger,An older woman in a class I took in college stole my ideas for a paper and presented them as her own.
anger,"We paid 600$ for a cruise, but they canceled it with not refunds one week before. so mad"
anger,"I was very upset one day when my daughter came off of the bus and was crying. A older boy intentionally tripped her when she was getting off the bus, and she got hurt!"
anger,"i hate when my kids leave their clothes all over the floor, i punish their video games but they still manage to leave their clothes on the floor"
anger,I was upset that my daughter total the car in the accident. She said that she was not responsible for the accident.
anger,I just got notice that my mortgage payment has gone up this year and i'm so mad about it.
anger,A guy cut in front of some people in a line at a store and I confronted him.  He flipped me off and we exchanged very heated words.  The confrontation almost got physically but finally he left.
anger,A car backed into me last week. They left a nasty dent in the front of my car.
anger,"My neighbors dogs keep barking, and my daughter is asleep. I'm afraid they are going to wake her up!"
anger,"it makes me really mad to see homeless people on the street, i think there should not be that many homeless people makes me really mad"
anger,I have not had any sleep for the past three days only to come back home and my neighbor is having a loud party.
anger,"I recently found out that my girlfriend has been cheating on me with another woman. She promised me that she wasn't that type of girl. Needless to say, I'm quite upset about it."
anger,My job brought in an incompetent manager who made my life miserable. I couldn't stand him and avoided him at all costs. It aggravated me to come to work every day.
anger,I am so angry to see media reporting news without fact checking these days.. It is harming the country
anger,Every single time I go in the office bathroom someone comes in and needs something. If I don't go to the bathroom no one comes in all day.
anger,I was at the grocery store today using self checkout. A man was checking out beside me and he took my receipt!
anger,I was so angry when i found out i missed my invitation for a job application through mail. I felt like throwing a punch at the wall
anger,I recently got very upset with my sister when said some very mean things to me. I let her know that she was out of line by yelling at her. I feel bad for both of us.
anger,"When I got falsely accused of eating my roommate's ice cream last night, I was completely outraged! I don't even eat ice cream because I'm lactose intolerant, and she knows that!"
anger,I came outside this morning and found my car had been broken into. I was very upset and frusterated
anger,I was waiting in a check out lane for quite some time. A new cashier came and she took the people at the back of the line.
anger,"The other day I seen someone had broken into my car. They didn't take anything. I'm not sure if I should feel violated, or bad because I had nothing worth stealing."
anger,I smashed my finger in the door the other day and I was so upset and mad!
anger,Someone hit my car and fled the scene.  I wish I could find the person
anger,In a class in college an older woman straight up stole my ideas and work for an assignment.
anger,My son wouldnt go to sleep last night.  He kept yelling that he didnt want to sleep and wouldnt go into his room
anger,My mother-in-law told a secret of mine that she promised she would never tell.  It hurt me and I really had to work on trusting her with other things I tell her
anger,"I had a guest over that used my restroom, and they obviously have some sort of digestive issue! They didn't event tell me about it!"
anger,A co-worker stole my lunch I believe.  I ended up having to skip a meal
anger,my sister planned a birthday party for our mother on a day and time in which it will create a huge hardship on me. She knew my schedule when she made the plan.
anger,I was so furious when my coworker badmouthed me to my boss. He said that i was stealing the office supplies just for the fun of it
anger,I once found out my step father was stealing money from my mother to buy drugs. I confronted him about it and got in a fist fight with him.
anger,"My father continuously gambles all his earnings away even though he has two minors to support. When I found out, I was too angry to look at him."
anger,Someone keeps stealing my lunch from the fridge at work. They'd better hope that I don't find out who they are!
anger,"I ordered a medium latte, no sugar from starbucks. They completely got my order wrong, it was green and frozen!"
anger,I was so angry to see that my cousin asked out my girlfriend when we were casually seeing each other. I sort of yelled at him.
anger,i got so angry when a friend of mine tried to make a pass at my girlfriend. I am thinking about confronting him.
anger,I get so upset when someone does not agree with what I am doing. I am a grown women and feel I can make good choices for myself.
anger,"I saw a kid beat up a dog the other day, I felt angry."
anger,"Nothing makes me more furious than bullies. Playground or politics, I find them intolerable."
anger,i was so angry when i found out my girlfriend kissed a friend of mine. i felt like punching the wall
anger,I was walking home when a car drove through a huge puddle near the sidewalk.  I was completely drenched
anger,"My dad was picking on my younger sister. I defended her, and was kicked out of my house."
anger,i was so angry when i found out that my girlfriend cheated on me.. dont know how i can forgive her
anger,My girlfriends dog isnt getting potty training.  One week she will be great.  The next week the only place she doesnt go to the bathroom is outside.
anger,I got a notification that I had a package delivered. I didn't see it on my porch and found it sitting in the middle of my driveway!
anger,I was sucker punched when I was 17. He broke his hand and ran away. I never got to punish him.
anger,Someone packed into my car the other day at the supermarket and put a big dent in it. I've only had the car for 10 days.
anger,I was so angry when my brother spoiled my favorite dress when we were kids. He cut animal shapes into it.
